"Step","2M-Dagger - val/loss","2M-Dagger - val/loss__MIN","2M-Dagger - val/loss__MAX"
"0","0.20109455287456512","0.20109455287456512","0.20109455287456512"
"1","0.19257096946239471","0.19257096946239471","0.19257096946239471"
"2","0.19233326613903046","0.19233326613903046","0.19233326613903046"
"3","0.1920415759086609","0.1920415759086609","0.1920415759086609"
"4","0.1882169544696808","0.1882169544696808","0.1882169544696808"
"5","0.18707311153411865","0.18707311153411865","0.18707311153411865"
"6","0.18657556176185608","0.18657556176185608","0.18657556176185608"
"7","0.19128663837909698","0.19128663837909698","0.19128663837909698"
"8","0.1879245787858963","0.1879245787858963","0.1879245787858963"
"9","0.19060495495796204","0.19060495495796204","0.19060495495796204"
"10","0.1931411325931549","0.1931411325931549","0.1931411325931549"
"11","0.19043375551700592","0.19043375551700592","0.19043375551700592"
"12","0.18757563829421997","0.18757563829421997","0.18757563829421997"
"13","0.18688003718852997","0.18688003718852997","0.18688003718852997"
"14","0.1887444406747818","0.1887444406747818","0.1887444406747818"
"15","0.18907417356967926","0.18907417356967926","0.18907417356967926"
"16","0.1882510632276535","0.1882510632276535","0.1882510632276535"
"17","0.18635468184947968","0.18635468184947968","0.18635468184947968"
"18","0.18806619942188263","0.18806619942188263","0.18806619942188263"
"19","0.1864592432975769","0.1864592432975769","0.1864592432975769"
"20","0.1877613067626953","0.1877613067626953","0.1877613067626953"
"21","0.1883874237537384","0.1883874237537384","0.1883874237537384"
"22","0.18244223296642303","0.18244223296642303","0.18244223296642303"
"23","0.1883854866027832","0.1883854866027832","0.1883854866027832"
"24","0.18749623000621796","0.18749623000621796","0.18749623000621796"
"25","0.18360799551010132","0.18360799551010132","0.18360799551010132"
"26","0.18175768852233887","0.18175768852233887","0.18175768852233887"
"27","0.1852680742740631","0.1852680742740631","0.1852680742740631"
"28","0.18608704209327698","0.18608704209327698","0.18608704209327698"
"29","0.1828586310148239","0.1828586310148239","0.1828586310148239"
"30","0.1841524988412857","0.1841524988412857","0.1841524988412857"
"31","0.18377886712551117","0.18377886712551117","0.18377886712551117"
"32","0.18505051732063293","0.18505051732063293","0.18505051732063293"
"33","0.18378032743930817","0.18378032743930817","0.18378032743930817"
"34","0.18131601810455322","0.18131601810455322","0.18131601810455322"
"35","0.18497255444526672","0.18497255444526672","0.18497255444526672"
"36","0.18542808294296265","0.18542808294296265","0.18542808294296265"
"37","0.17842356860637665","0.17842356860637665","0.17842356860637665"
"38","0.17923828959465027","0.17923828959465027","0.17923828959465027"
"39","0.1833166629076004","0.1833166629076004","0.1833166629076004"
"40","0.179692804813385","0.179692804813385","0.179692804813385"
"41","0.18254901468753815","0.18254901468753815","0.18254901468753815"
"42","0.184752956032753","0.184752956032753","0.184752956032753"
"43","0.18240246176719666","0.18240246176719666","0.18240246176719666"
"44","0.18180374801158905","0.18180374801158905","0.18180374801158905"
"45","0.17930588126182556","0.17930588126182556","0.17930588126182556"
"46","0.18011879920959473","0.18011879920959473","0.18011879920959473"
"47","0.1769959032535553","0.1769959032535553","0.1769959032535553"
"48","0.1767996847629547","0.1767996847629547","0.1767996847629547"
"49","0.17739365994930267","0.17739365994930267","0.17739365994930267"
"50","0.1774725466966629","0.1774725466966629","0.1774725466966629"
"51","0.17572033405303955","0.17572033405303955","0.17572033405303955"
"52","0.17798224091529846","0.17798224091529846","0.17798224091529846"
"53","0.1767202913761139","0.1767202913761139","0.1767202913761139"
"54","0.17890088260173798","0.17890088260173798","0.17890088260173798"
"55","0.1795002818107605","0.1795002818107605","0.1795002818107605"
"56","0.17532280087471008","0.17532280087471008","0.17532280087471008"
"57","0.17475095391273499","0.17475095391273499","0.17475095391273499"
"58","0.17830374836921692","0.17830374836921692","0.17830374836921692"
"59","0.17715130746364594","0.17715130746364594","0.17715130746364594"
"60","0.17872968316078186","0.17872968316078186","0.17872968316078186"
"61","0.17885465919971466","0.17885465919971466","0.17885465919971466"
"62","0.17787347733974457","0.17787347733974457","0.17787347733974457"
"63","0.18276968598365784","0.18276968598365784","0.18276968598365784"
"64","0.1754019409418106","0.1754019409418106","0.1754019409418106"
"65","0.17718519270420074","0.17718519270420074","0.17718519270420074"
"66","0.17341236770153046","0.17341236770153046","0.17341236770153046"
"67","0.17167676985263824","0.17167676985263824","0.17167676985263824"
"68","0.17640753090381622","0.17640753090381622","0.17640753090381622"
"69","0.1773931384086609","0.1773931384086609","0.1773931384086609"
"70","0.17479601502418518","0.17479601502418518","0.17479601502418518"
"71","0.1774175763130188","0.1774175763130188","0.1774175763130188"
"72","0.17329883575439453","0.17329883575439453","0.17329883575439453"
"73","0.17289109528064728","0.17289109528064728","0.17289109528064728"
"74","0.1756736785173416","0.1756736785173416","0.1756736785173416"
"75","0.1729564368724823","0.1729564368724823","0.1729564368724823"
"76","0.17264588177204132","0.17264588177204132","0.17264588177204132"
"77","0.17359007894992828","0.17359007894992828","0.17359007894992828"
"78","0.1733311116695404","0.1733311116695404","0.1733311116695404"
"79","0.17653074860572815","0.17653074860572815","0.17653074860572815"
"80","0.17841756343841553","0.17841756343841553","0.17841756343841553"
"81","0.1755119115114212","0.1755119115114212","0.1755119115114212"
"82","0.17388217151165009","0.17388217151165009","0.17388217151165009"
"83","0.172406405210495","0.172406405210495","0.172406405210495"
"84","0.17597708106040955","0.17597708106040955","0.17597708106040955"
"85","0.175759419798851","0.175759419798851","0.175759419798851"
"86","0.17061302065849304","0.17061302065849304","0.17061302065849304"
"87","0.17523257434368134","0.17523257434368134","0.17523257434368134"
"88","0.17418095469474792","0.17418095469474792","0.17418095469474792"
"89","0.1730576753616333","0.1730576753616333","0.1730576753616333"
"90","0.1731240451335907","0.1731240451335907","0.1731240451335907"
"91","0.1749972701072693","0.1749972701072693","0.1749972701072693"
"92","0.17082993686199188","0.17082993686199188","0.17082993686199188"
"93","0.17457668483257294","0.17457668483257294","0.17457668483257294"
"94","0.17529478669166565","0.17529478669166565","0.17529478669166565"
"95","0.17170248925685883","0.17170248925685883","0.17170248925685883"
"96","0.17225587368011475","0.17225587368011475","0.17225587368011475"
"97","0.172825887799263","0.172825887799263","0.172825887799263"
"98","0.17403528094291687","0.17403528094291687","0.17403528094291687"
"99","0.1714707762002945","0.1714707762002945","0.1714707762002945"
"100","0.1684340536594391","0.1684340536594391","0.1684340536594391"
"101","0.17200644314289093","0.17200644314289093","0.17200644314289093"
"102","0.1747249811887741","0.1747249811887741","0.1747249811887741"
"103","0.1727656126022339","0.1727656126022339","0.1727656126022339"
"104","0.17415134608745575","0.17415134608745575","0.17415134608745575"
"105","0.173674538731575","0.173674538731575","0.173674538731575"
"106","0.17772233486175537","0.17772233486175537","0.17772233486175537"
"107","0.1707126498222351","0.1707126498222351","0.1707126498222351"
"108","0.176348015666008","0.176348015666008","0.176348015666008"
"109","0.17374897003173828","0.17374897003173828","0.17374897003173828"
"110","0.17199811339378357","0.17199811339378357","0.17199811339378357"
"111","0.16875599324703217","0.16875599324703217","0.16875599324703217"
"112","0.1711237132549286","0.1711237132549286","0.1711237132549286"
