"Step,""2M-DDG - val/loss"",""2M-DDG - val/loss__MIN"",""2M-DDG - val/loss__MAX"""
"0,""0.2023991048336029"",""0.2023991048336029"",""0.2023991048336029"""
"1,""0.19082236289978027"",""0.19082236289978027"",""0.19082236289978027"""
"2,""0.18613693118095398"",""0.18613693118095398"",""0.18613693118095398"""
"3,""0.17854547500610352"",""0.17854547500610352"",""0.17854547500610352"""
"4,""0.17982888221740723"",""0.17982888221740723"",""0.17982888221740723"""
"5,""0.17675045132637024"",""0.17675045132637024"",""0.17675045132637024"""
"6,""0.17218200862407684"",""0.17218200862407684"",""0.17218200862407684"""
"7,""0.17072512209415436"",""0.17072512209415436"",""0.17072512209415436"""
"8,""0.17663627862930298"",""0.17663627862930298"",""0.17663627862930298"""
"9,""0.1758720725774765"",""0.1758720725774765"",""0.1758720725774765"""
"10,""0.17475484311580658"",""0.17475484311580658"",""0.17475484311580658"""
"11,""0.174207404255867"",""0.174207404255867"",""0.174207404255867"""
"12,""0.17429117858409882"",""0.17429117858409882"",""0.17429117858409882"""
"13,""0.17526060342788696"",""0.17526060342788696"",""0.17526060342788696"""
"14,""0.17441153526306152"",""0.17441153526306152"",""0.17441153526306152"""
"15,""0.1741832047700882"",""0.1741832047700882"",""0.1741832047700882"""
"16,""0.17013277113437653"",""0.17013277113437653"",""0.17013277113437653"""
"17,""0.17118865251541138"",""0.17118865251541138"",""0.17118865251541138"""
"18,""0.17146821320056915"",""0.17146821320056915"",""0.17146821320056915"""
"19,""0.17030636966228485"",""0.17030636966228485"",""0.17030636966228485"""
"20,""0.1695077270269394"",""0.1695077270269394"",""0.1695077270269394"""
"21,""0.1735350340604782"",""0.1735350340604782"",""0.1735350340604782"""
"22,""0.16840776801109314"",""0.16840776801109314"",""0.16840776801109314"""
"23,""0.1712496280670166"",""0.1712496280670166"",""0.1712496280670166"""
"24,""0.17161139845848083"",""0.17161139845848083"",""0.17161139845848083"""
"25,""0.16883854568004608"",""0.16883854568004608"",""0.16883854568004608"""
"26,""0.168575718998909"",""0.168575718998909"",""0.168575718998909"""
"27,""0.17059607803821564"",""0.17059607803821564"",""0.17059607803821564"""
"28,""0.1659032702445984"",""0.1659032702445984"",""0.1659032702445984"""
"29,""0.16569502651691437"",""0.16569502651691437"",""0.16569502651691437"""
"30,""0.16685953736305237"",""0.16685953736305237"",""0.16685953736305237"""
"31,""0.1659037470817566"",""0.1659037470817566"",""0.1659037470817566"""
"32,""0.16347971558570862"",""0.16347971558570862"",""0.16347971558570862"""
"33,""0.16402921080589294"",""0.16402921080589294"",""0.16402921080589294"""
"34,""0.16456978023052216"",""0.16456978023052216"",""0.16456978023052216"""
"35,""0.16555923223495483"",""0.16555923223495483"",""0.16555923223495483"""
"36,""0.1634051501750946"",""0.1634051501750946"",""0.1634051501750946"""
"37,""0.1617363840341568"",""0.1617363840341568"",""0.1617363840341568"""
