"Step","2M-Standard - val/loss","2M-Standard - val/loss__MIN","2M-Standard - val/loss__MAX"
"46","0.17074492573738098","0.17074492573738098","0.17074492573738098"
"47","0.17152442038059235","0.17152442038059235","0.17152442038059235"
"48","0.1730767786502838","0.1730767786502838","0.1730767786502838"
"49","0.17026707530021667","0.17026707530021667","0.17026707530021667"
"50","0.17175427079200745","0.17175427079200745","0.17175427079200745"
"51","0.17081832885742188","0.17081832885742188","0.17081832885742188"
"52","0.17051108181476593","0.17051108181476593","0.17051108181476593"
"53","0.16967567801475525","0.16967567801475525","0.16967567801475525"
"54","0.17234405875205994","0.17234405875205994","0.17234405875205994"
"55","0.168295219540596","0.168295219540596","0.168295219540596"
"56","0.1729951649904251","0.1729951649904251","0.1729951649904251"
"57","0.17338749766349792","0.17338749766349792","0.17338749766349792"
"58","0.17083635926246643","0.17083635926246643","0.17083635926246643"
"59","0.17265191674232483","0.17265191674232483","0.17265191674232483"
"60","0.17115600407123566","0.17115600407123566","0.17115600407123566"
"61","0.16866688430309296","0.16866688430309296","0.16866688430309296"
"62","0.16691288352012634","0.16691288352012634","0.16691288352012634"
"63","0.17263753712177277","0.17263753712177277","0.17263753712177277"
"64","0.17064857482910156","0.17064857482910156","0.17064857482910156"
"65","0.17158737778663635","0.17158737778663635","0.17158737778663635"
"66","0.16790691018104553","0.16790691018104553","0.16790691018104553"
"67","0.17174404859542847","0.17174404859542847","0.17174404859542847"
"68","0.1711679995059967","0.1711679995059967","0.1711679995059967"
"69","0.17159923911094666","0.17159923911094666","0.17159923911094666"
"70","0.16910898685455322","0.16910898685455322","0.16910898685455322"
"71","0.16857504844665527","0.16857504844665527","0.16857504844665527"
"72","0.16976313292980194","0.16976313292980194","0.16976313292980194"
"73","0.16641977429389954","0.16641977429389954","0.16641977429389954"
"74","0.17332524061203003","0.17332524061203003","0.17332524061203003"
"75","0.17031092941761017","0.17031092941761017","0.17031092941761017"
"76","0.1667507290840149","0.1667507290840149","0.1667507290840149"
"77","0.16980956494808197","0.16980956494808197","0.16980956494808197"
"78","0.1711500883102417","0.1711500883102417","0.1711500883102417"
"79","0.16932986676692963","0.16932986676692963","0.16932986676692963"
"80","0.16821368038654327","0.16821368038654327","0.16821368038654327"
"81","0.1660706102848053","0.1660706102848053","0.1660706102848053"
"82","0.16806669533252716","0.16806669533252716","0.16806669533252716"
"83","0.1687735617160797","0.1687735617160797","0.1687735617160797"
"84","0.1709442436695099","0.1709442436695099","0.1709442436695099"
"85","0.1702110767364502","0.1702110767364502","0.1702110767364502"
"86","0.1693476289510727","0.1693476289510727","0.1693476289510727"
"87","0.16809028387069702","0.16809028387069702","0.16809028387069702"
"88","0.169146329164505","0.169146329164505","0.169146329164505"
"89","0.17080208659172058","0.17080208659172058","0.17080208659172058"
"90","0.17259682714939117","0.17259682714939117","0.17259682714939117"
"91","0.1644493192434311","0.1644493192434311","0.1644493192434311"
"92","0.16782616078853607","0.16782616078853607","0.16782616078853607"
"93","0.16395726799964905","0.16395726799964905","0.16395726799964905"
"94","0.16916804015636444","0.16916804015636444","0.16916804015636444"
"95","0.16883237659931183","0.16883237659931183","0.16883237659931183"
"96","0.17142486572265625","0.17142486572265625","0.17142486572265625"
"97","0.17144237458705902","0.17144237458705902","0.17144237458705902"
"98","0.16698752343654633","0.16698752343654633","0.16698752343654633"
"99","0.1658696085214615","0.1658696085214615","0.1658696085214615"
"100","0.16993635892868042","0.16993635892868042","0.16993635892868042"
"101","0.16695454716682434","0.16695454716682434","0.16695454716682434"
"102","0.1670878529548645","0.1670878529548645","0.1670878529548645"
"103","0.1699943244457245","0.1699943244457245","0.1699943244457245"
"104","0.17005500197410583","0.17005500197410583","0.17005500197410583"
"105","0.16607150435447693","0.16607150435447693","0.16607150435447693"
"106","0.1659778356552124","0.1659778356552124","0.1659778356552124"
"107","0.16798053681850433","0.16798053681850433","0.16798053681850433"
"108","0.16602745652198792","0.16602745652198792","0.16602745652198792"
"109","0.1679287999868393","0.1679287999868393","0.1679287999868393"
"110","0.16913802921772003","0.16913802921772003","0.16913802921772003"
"111","0.16636919975280762","0.16636919975280762","0.16636919975280762"
"112","0.16425363719463348","0.16425363719463348","0.16425363719463348"
"113","0.16835860908031464","0.16835860908031464","0.16835860908031464"
"114","0.16721105575561523","0.16721105575561523","0.16721105575561523"
"115","0.16686275601387024","0.16686275601387024","0.16686275601387024"
"116","0.1657695472240448","0.1657695472240448","0.1657695472240448"
"117","0.16493326425552368","0.16493326425552368","0.16493326425552368"
"118","0.17013321816921234","0.17013321816921234","0.17013321816921234"
"119","0.1669396162033081","0.1669396162033081","0.1669396162033081"
