"Step","2M-Standard - val/loss","2M-Standard - val/loss__MIN","2M-Standard - val/loss__MAX"
"0","0.20041795074939728","0.20041795074939728","0.20041795074939728"
"1","0.19484785199165344","0.19484785199165344","0.19484785199165344"
"2","0.1924540251493454","0.1924540251493454","0.1924540251493454"
"3","0.19013789296150208","0.19013789296150208","0.19013789296150208"
"4","0.19271038472652435","0.19271038472652435","0.19271038472652435"
"5","0.18797194957733154","0.18797194957733154","0.18797194957733154"
"6","0.19111494719982147","0.19111494719982147","0.19111494719982147"
"7","0.1846170723438263","0.1846170723438263","0.1846170723438263"
"8","0.18747970461845398","0.18747970461845398","0.18747970461845398"
"9","0.18822629749774933","0.18822629749774933","0.18822629749774933"
"10","0.18499772250652313","0.18499772250652313","0.18499772250652313"
"11","0.18228253722190857","0.18228253722190857","0.18228253722190857"
"12","0.18186727166175842","0.18186727166175842","0.18186727166175842"
"13","0.18265464901924133","0.18265464901924133","0.18265464901924133"
"14","0.18075434863567352","0.18075434863567352","0.18075434863567352"
"15","0.18244144320487976","0.18244144320487976","0.18244144320487976"
"16","0.18076901137828827","0.18076901137828827","0.18076901137828827"
"17","0.1800631731748581","0.1800631731748581","0.1800631731748581"
"18","0.18102271854877472","0.18102271854877472","0.18102271854877472"
"19","0.1793200522661209","0.1793200522661209","0.1793200522661209"
"20","0.17900529503822327","0.17900529503822327","0.17900529503822327"
"21","0.17867402732372284","0.17867402732372284","0.17867402732372284"
"22","0.17970743775367737","0.17970743775367737","0.17970743775367737"
"23","0.17893388867378235","0.17893388867378235","0.17893388867378235"
"24","0.17789995670318604","0.17789995670318604","0.17789995670318604"
"25","0.17771103978157043","0.17771103978157043","0.17771103978157043"
"26","0.17620524764060974","0.17620524764060974","0.17620524764060974"
"27","0.17730946838855743","0.17730946838855743","0.17730946838855743"
"28","0.18000492453575134","0.18000492453575134","0.18000492453575134"
"29","0.17427510023117065","0.17427510023117065","0.17427510023117065"
"30","0.17619864642620087","0.17619864642620087","0.17619864642620087"
"31","0.1740640103816986","0.1740640103816986","0.1740640103816986"
"32","0.17624714970588684","0.17624714970588684","0.17624714970588684"
"33","0.17436279356479645","0.17436279356479645","0.17436279356479645"
"34","0.1767130196094513","0.1767130196094513","0.1767130196094513"
"35","0.1720377504825592","0.1720377504825592","0.1720377504825592"
"36","0.17396248877048492","0.17396248877048492","0.17396248877048492"
"37","0.17960211634635925","0.17960211634635925","0.17960211634635925"
"38","0.17374876141548157","0.17374876141548157","0.17374876141548157"
"39","0.17054353654384613","0.17054353654384613","0.17054353654384613"
"40","0.17383655905723572","0.17383655905723572","0.17383655905723572"
"41","0.1741025596857071","0.1741025596857071","0.1741025596857071"
"42","0.1708991378545761","0.1708991378545761","0.1708991378545761"
"43","0.17664749920368195","0.17664749920368195","0.17664749920368195"
"44","0.17432019114494324","0.17432019114494324","0.17432019114494324"
"45","0.172303706407547","0.172303706407547","0.172303706407547"
